"ADNP","HGNC:15766","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:15766","2017-11-22T17:55:30+00:00"
"ADSL","HGNC:291","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:291","2015-11-06T04:36:44+00:00"
"AFF2","HGNC:3776","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:3776","2020-12-08T17:30:05+00:00"
"AGA","HGNC:318","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:318","2026-02-05T15:48:09-05:00"
"AGAP2","HGNC:16921","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:16921","2025-02-26T12:31:24-05:00"
"AGK","HGNC:21869","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21869","2025-09-26T11:14:44-04:00"
"AGO4","HGNC:18424","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:18424","2024-10-08T12:59:32-04:00"
"AGPAT2","HGNC:325","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:325","2016-08-22T17:45:46+00:00"
"AGRN","HGNC:329","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:329","2016-08-22T17:45:47+00:00"
"AGT","HGNC:333","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:333","2014-11-13T15:04:16+00:00"
"AGTR2","HGNC:338","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:338","2012-05-10T13:30:11+00:00"
"AGXT","HGNC:341","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:341","2016-08-22T17:45:48+00:00"
"AHCY","HGNC:343","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:343","2016-06-08T14:14:30+00:00"
"AHDC1","HGNC:25230","Sufficient Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:25230","2018-02-28T17:31:33+00:00"
"AHI1","HGNC:21575","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:21575","2025-09-26T11:29:08-04:00"
"AICDA","HGNC:13203","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:13203","2016-08-22T17:45:48+00:00"
"AIFM1","HGNC:8768","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:8768","2025-04-23T12:53:19-04:00"
"AIMP1","HGNC:10648","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:10648","2016-08-22T17:45:49+00:00"
"AKT1","HGNC:391","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:391","2022-01-25T18:10:51+00:00"
"AKT2","HGNC:392","No Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:392","2015-05-07T13:10:30+00:00"
"AKT3","HGNC:393","Little Evidence for Haploinsufficiency","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:393","2023-05-09T16:50:48+00:00"
"ALAD","HGNC:395","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:395","2016-08-22T17:45:50+00:00"
"ALDH1A3","HGNC:409","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:409","2016-08-22T17:45:51+00:00"
"ALDH3A2","HGNC:403","Gene Associated with Autosomal Recessive Phenotype","Not yet evaluated","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:403","2016-08-22T17:45:52+00:00"
"ALDH4A1","HGNC:406","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:406","2025-11-21T11:23:07-05:00"
"ALDH5A1","HGNC:408","Gene Associated with Autosomal Recessive Phenotype","No Evidence for Triplosensitivity","https://search.clinicalgenome.org/kb/gene-dosage/HGNC:408","2016-08-22T17:45:53+00:00"
